2026-07-08 19:15:07,852 | INFO     | aiogram.dispatcher | Start polling
2026-07-08 19:15:07,946 | INFO     | aiogram.dispatcher | Run polling for bot @MoveNation_Assistant_bot id=8979568031 - 'Move Nation Assistant'
2026-07-08 19:15:52,700 | INFO     | app.services.group_service | Не можу встановити тег «Керівник» для user_id=8676009145 у групі -1003984519287 — це власник чату, Telegram дозволяє тегувати творця лише йому самому
2026-07-08 19:18:43,388 | INFO     | aiogram.dispatcher | Polling stopped
2026-07-08 19:18:43,388 | INFO     | __main__ | Завершую роботу: зупиняю планувальник, бота, API та з'єднання з БД…
2026-07-08 19:18:43,389 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-07-08 19:18:43,389 | WARNING  | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8979568031)
2026-07-08 19:18:43,392 | INFO     | aiogram.dispatcher | Polling stopped for bot @MoveNation_Assistant_bot id=8979568031 - 'Move Nation Assistant'
2026-07-08 19:18:43,393 | INFO     | __main__ | Зупинено користувачем.
2026-07-08 19:23:29,171 | INFO     | aiogram.dispatcher | Start polling
2026-07-08 19:23:29,251 | INFO     | aiogram.dispatcher | Run polling for bot @MoveNation_Assistant_bot id=8979568031 - 'Move Nation Assistant'
2026-07-08 19:24:08,221 | INFO     | app.services.telethon_auth | Код надіслано для user_id=8422370073: type=SentCodeTypeApp next_type=None timeout=None
2026-07-08 19:24:42,730 | INFO     | app.services.group_service | Не можу встановити тег «Керівник» для user_id=8676009145 у групі -1004478922194 — це власник чату, Telegram дозволяє тегувати творця лише йому самому
2026-07-08 19:26:34,451 | INFO     | aiogram.dispatcher | Polling stopped
2026-07-08 19:26:34,451 | INFO     | __main__ | Завершую роботу: зупиняю планувальник, бота, API та з'єднання з БД…
2026-07-08 19:26:34,453 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-07-08 19:26:34,453 | WARNING  | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8979568031)
2026-07-08 19:26:34,455 | INFO     | aiogram.dispatcher | Polling stopped for bot @MoveNation_Assistant_bot id=8979568031 - 'Move Nation Assistant'
2026-07-08 19:26:34,456 | INFO     | __main__ | Зупинено користувачем.
2026-07-08 19:52:05,866 | INFO     | aiogram.dispatcher | Start polling
2026-07-08 19:52:05,988 | INFO     | aiogram.dispatcher | Run polling for bot @MoveNation_Assistant_bot id=8979568031 - 'Move Nation Assistant'
2026-07-08 19:52:29,269 | INFO     | app.services.telethon_auth | Код надіслано для user_id=8422370073: type=SentCodeTypeApp next_type=None timeout=None
2026-07-08 19:54:52,878 | INFO     | app.services.group_service | Не можу встановити тег «Керівник» для user_id=8676009145 у групі -1003805068290 — це власник чату, Telegram дозволяє тегувати творця лише йому самому
2026-07-08 19:56:45,068 | INFO     | app.services.group_service | Не можу встановити тег «Керівник» для user_id=8676009145 у групі -1003786546899 — це власник чату, Telegram дозволяє тегувати творця лише йому самому
